----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.2.0.1010--------------------------
-------------------------2025-01-10T17:04:34--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.22631---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
-----------------------------.NET 8.0.11------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 15.78 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2025-01-10T17:04:34.3566|INFO|CameraChooserVM.cs|GetEquipment|69|Found 0 ASI Cameras
2025-01-10T17:04:34.4374|INFO|CameraChooserVM.cs|GetEquipment|84|Found 1 Altair Cameras
2025-01-10T17:04:34.7242|INFO|CameraChooserVM.cs|GetEquipment|96|Found 0 Atik Cameras
2025-01-10T17:04:34.7270|INFO|CameraChooserVM.cs|GetEquipment|110|Found 0 FLI Cameras
2025-01-10T17:04:35.7690|INFO|CameraChooserVM.cs|GetEquipment|130|Found 0 QHYCCD Cameras
2025-01-10T17:04:35.8563|INFO|CameraChooserVM.cs|GetEquipment|158|Found 3 ToupTek Cameras
2025-01-10T17:04:35.8622|INFO|CameraChooserVM.cs|GetEquipment|173|Found 1 Ogma Cameras
2025-01-10T17:04:35.8722|INFO|CameraChooserVM.cs|GetEquipment|188|Found 3 Omegon Cameras
2025-01-10T17:04:35.9540|INFO|CameraChooserVM.cs|GetEquipment|203|Found 3 RisingCam Cameras
2025-01-10T17:04:35.9644|INFO|CameraChooserVM.cs|GetEquipment|218|Found 1 MallinCam Cameras
2025-01-10T17:04:35.9663|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2025-01-10T17:04:36.3364|INFO|ApplicationVM.cs|CheckASCOMPlatformVersion|81|ASCOM Platform 6.6.2.4195 installed
2025-01-10T17:04:38.8110|INFO|ApplicationVM.cs|CheckDiskInfo|100|Available Space on Drive C:\: 110.99 GB
